experiment,tau,step,train_success,mean_reward,entropy,grad_norm,response_len,eval_success
baseline,,1,0.09,0.16,1.05,1.49,362.98,
baseline,,2,0.12,0.19,1.09,1.47,323.78,
baseline,,3,0.05,0.11,1.01,1.35,344.88,
baseline,,4,0.14,0.21,1.0,1.74,303.77,
baseline,,5,0.22,0.3,0.97,1.45,320.98,
baseline,,6,0.06,0.14,0.89,1.64,272.64,
baseline,,7,0.08,0.16,0.95,1.69,274.59,
baseline,,8,0.05,0.14,0.87,1.8,253.08,
baseline,,9,0.06,0.15,0.89,1.87,229.8,
baseline,,10,0.05,0.13,0.86,2.17,203.92,
baseline,,11,0.08,0.18,0.87,2.11,159.33,0.12
baseline,,12,0.02,0.11,0.89,2.02,189.48,
baseline,,13,0.08,0.17,0.86,2.56,127.77,
baseline,,14,0.08,0.17,0.77,1.89,124.59,
baseline,,15,0.27,0.36,0.76,2.22,114.11,
baseline,,16,0.12,0.22,0.8,1.98,130.2,
baseline,,17,0.05,0.14,0.75,2.38,121.34,
baseline,,18,0.17,0.27,0.71,2.72,110.61,
baseline,,19,0.08,0.18,0.69,2.09,125.16,
baseline,,20,0.06,0.16,0.71,2.98,97.94,
baseline,,21,0.09,0.19,0.68,2.61,103.05,0.11
baseline,,22,0.03,0.13,0.75,1.26,107.89,
baseline,,23,0.05,0.15,0.73,2.41,117.88,
baseline,,24,0.06,0.16,0.78,1.84,107.89,
baseline,,25,0.05,0.15,0.74,1.25,110.44,
baseline,,26,0.12,0.22,0.81,2.52,116.11,
baseline,,27,0.09,0.19,0.77,1.94,107.67,
baseline,,28,0.03,0.13,0.76,1.61,113.55,
baseline,,29,0.06,0.16,0.75,1.16,109.78,
baseline,,30,0.06,0.16,0.73,1.95,101.52,
baseline,,31,0.09,0.19,0.62,2.84,101.83,0.12
baseline,,32,0.23,0.33,0.6,3.3,93.75,
baseline,,33,0.08,0.18,0.49,2.33,106.17,
baseline,,34,0.16,0.25,0.51,2.25,102.3,
baseline,,35,0.17,0.27,0.52,3.06,95.09,
baseline,,36,0.2,0.3,0.49,3.11,108.94,
baseline,,37,0.17,0.27,0.52,2.52,105.16,
baseline,,38,0.31,0.41,0.48,2.97,82.08,
baseline,,39,0.09,0.19,0.47,2.44,102.25,
baseline,,40,0.19,0.29,0.43,2.03,95.47,
